        Mass ratio of C        Mass ratio of H        Mass ratio of N        Mass ratio of O  Species
  0.000000000000000E+00  0.000000000000000E+00  0.100000000000000E+01  0.000000000000000E+00  N2                      
  0.000000000000000E+00  0.000000000000000E+00  0.000000000000000E+00  0.000000000000000E+00  AR                      
  0.000000000000000E+00  0.000000000000000E+00  0.000000000000000E+00  0.000000000000000E+00  HE                      
  0.000000000000000E+00  0.100000000000000E+01  0.000000000000000E+00  0.000000000000000E+00  H                       
  0.000000000000000E+00  0.000000000000000E+00  0.000000000000000E+00  0.100000000000000E+01  O2                      
  0.000000000000000E+00  0.000000000000000E+00  0.000000000000000E+00  0.100000000000000E+01  O                       
  0.000000000000000E+00  0.592666591013190E-01  0.000000000000000E+00  0.940733340898681E+00  OH                      
  0.000000000000000E+00  0.100000000000000E+01  0.000000000000000E+00  0.000000000000000E+00  H2                      
  0.000000000000000E+00  0.111901301890500E+00  0.000000000000000E+00  0.888098698109500E+00  H2O                     
  0.000000000000000E+00  0.305382804800349E-01  0.000000000000000E+00  0.969461719519965E+00  HO2                     
  0.000000000000000E+00  0.592666591013190E-01  0.000000000000000E+00  0.940733340898681E+00  H2O2                    
  0.000000000000000E+00  0.177557351145966E+00  0.822442648854034E+00  0.000000000000000E+00  NH3                     
  0.000000000000000E+00  0.125818217222630E+00  0.874181782777370E+00  0.000000000000000E+00  NH2                     
  0.000000000000000E+00  0.671323445670135E-01  0.932867655432987E+00  0.000000000000000E+00  NH                      
  0.000000000000000E+00  0.325004102976488E-01  0.451624053211978E+00  0.515875536490374E+00  HNO                     
  0.000000000000000E+00  0.629547649056712E-01  0.437408110164125E+00  0.499637124930204E+00  H2NO                    
  0.000000000000000E+00  0.325004102976488E-01  0.451624053211978E+00  0.515875536490374E+00  HON                     
  0.000000000000000E+00  0.000000000000000E+00  0.100000000000000E+01  0.000000000000000E+00  N                       
  0.000000000000000E+00  0.000000000000000E+00  0.466795084999383E+00  0.533204915000617E+00  NO                      
  0.000000000000000E+00  0.347319923215203E-01  0.965268007678480E+00  0.000000000000000E+00  NNH                     
  0.000000000000000E+00  0.214400255926653E-01  0.297929508287731E+00  0.680630466119604E+00  HONO                    
  0.000000000000000E+00  0.000000000000000E+00  0.304457075784417E+00  0.695542924215583E+00  NO2                     
  0.000000000000000E+00  0.000000000000000E+00  0.636483023120547E+00  0.363516976879453E+00  N2O                     
  0.000000000000000E+00  0.915503810020039E-01  0.424059817117827E+00  0.484389801880169E+00  NH2OH                   
  0.000000000000000E+00  0.629547649056712E-01  0.437408110164125E+00  0.499637124930204E+00  HNOH                    
  0.000000000000000E+00  0.159962560029404E-01  0.222283162154017E+00  0.761720581843042E+00  HONO2                   
  0.000000000000000E+00  0.214400255926653E-01  0.297929508287731E+00  0.680630466119604E+00  HNO2                    
  0.000000000000000E+00  0.000000000000000E+00  0.225896663005666E+00  0.774103336994334E+00  NO3                     
  0.000000000000000E+00  0.671323445670135E-01  0.932867655432987E+00  0.000000000000000E+00  N2H2                    
  0.000000000000000E+00  0.671323445670135E-01  0.932867655432987E+00  0.000000000000000E+00  H2NN                    
  0.000000000000000E+00  0.974282242887673E-01  0.902571775711233E+00  0.000000000000000E+00  N2H3                    
  0.000000000000000E+00  0.125818217222630E+00  0.874181782777370E+00  0.000000000000000E+00  N2H4                    
  0.000000000000000E+00  0.592666591013190E-01  0.000000000000000E+00  0.940733340898681E+00  OHD-OH                  
